CONGRESS_ID;ID_KU
833;1024
834;1024
835;1024
836;1024
837;1024
838;1024
839;1024
840;1024
841;1025
842;1025
843;1025
844;1025
845;1025
846;1025
847;1025
848;1025
849;1025
850;1025
851;1025
852;1025
853;1025
854;1025
855;1025
856;1025
857;1025
858;1025
859;1025
860;1025
861;1025
862;1025
863;1025
864;1025
865;1025
866;1025
867;1025
868;1025
869;1025
870;1025
871;1025
872;1025
873;1025
874;1025
875;1025
876;1025
877;1025
878;1025
879;1025
880;1025
881;1025
882;1025
883;1025
884;1025
885;1025
886;1025
887;1025
888;1025
889;1025
890;1025
891;1025
892;1026
893;1026
894;1026
895;1026
896;1026
897;1026
898;1026
899;1026
900;1026
901;1026
902;1026
903;1026
904;1026
905;1026
906;1026
907;1026
908;1026
909;1026
910;1026
911;1026
912;1026
913;1026
914;1026
915;1026
916;1026
917;1026
918;1026
919;1026
920;1026
921;1026
922;1026
923;1026
924;1026
925;1026
926;1026
927;1026
928;1026
929;1026
930;1026
931;1026
932;1026
933;1026
934;1026
935;1026
936;1026
937;1026
938;1026
939;1026
940;1026
941;1026
942;1026
943;1027
944;1027
945;1027
946;1027
947;1027
948;1027
949;1027
950;1027
951;1027
952;1027
953;1027
954;1027
955;1027
956;1027
957;1027
958;1027
959;1027
960;1027
961;1027
962;1027
963;1027
964;1027
965;1027
966;1027
967;1027
